Names,Average Velocity (km/h),Total Time Elapsed (min),Power Expenditure (W),Percentage of time following recommended speed,Behaviour Score,Emergency Preparedness Score,Enjoyment Score
Raymond,31.39,4.78,145.79,52.5,Moderate,2,4
Kathryn,27.21,5.51,94.23,81.32,Safe,1,5
Robert,28.48,5.27,105.87,75.86,Safe,3,1
Steven,28.07,5.34,100.44,87.78,Safe,2,2
David,32.47,4.62,155.87,39.74,Reckless,3,4
Timothy,29.88,5.02,122.29,59.26,Moderate,5,3
Sandra,31.83,4.71,149.44,48.1,Reckless,1,2
Jeremy,28.41,5.28,103.15,71.91,Safe,5,2
David,34.2,4.39,178.49,31.08,Reckless,2,4
Lisa,25.79,5.82,79.08,89.47,Safe,1,5
Jesus,28.1,5.34,103.61,80.9,Safe,5,3
Sheila,30.52,4.92,129.26,43.75,Reckless,5,3
Kathy,27.03,5.55,88.33,90.43,Safe,1,3
Amy,27.46,5.46,97.1,70.11,Safe,4,5
Karyn,29.34,5.11,114.33,82.95,Safe,2,1
Donna,29.63,5.06,121.32,60.98,Moderate,3,1
Derrick,29.69,5.05,122.92,56.63,Moderate,2,3
Chris,29.63,5.06,121.21,56.63,Moderate,5,3
Lois,30.52,4.92,132.06,51.25,Moderate,1,4
Brad,29.34,5.11,113.36,53.09,Moderate,5,2
Matthew,26.81,5.6,90.74,89.58,Safe,1,4
Russell,31.21,4.81,141.06,46.25,Reckless,4,5
Jeff,27.78,5.4,96.55,83.7,Safe,1,4
Len,35.16,4.27,204.7,16.9,Reckless,2,2
John,29.44,5.1,115.13,67.06,Moderate,1,1
Elizabeth,30.79,4.87,137.6,46.84,Reckless,4,1
Emily,26.69,5.62,86.5,86.96,Safe,4,5
Aaron,29.0,5.17,114.39,68.18,Moderate,3,4
Arnold,28.94,5.18,113.55,59.04,Moderate,4,1
Annalee,27.45,5.47,94.39,89.47,Safe,3,1
